Accuracy,Accuracy,,,,,,,,,,,,Precision,Precision,,,,,,,,,,
1,,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,1,,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10
1,DTC,1,1,1,1,1,1,1,0.92,1,1,,1,DTC,1,1,1,1,1,1,1,0.9375,1,1
1,MPC,0.84,0.92,1,1,1,0.48,1,0.28,1,0.24,,1,MPC,0.75,0.928571429,1,1,1,0.5,1,0.25,1,0.25
1,SVC,1,1,1,1,1,1,1,1,1,1,,1,SVC,1,1,1,1,1,1,1,1,1,1
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
0.92,,,,,,,,,,,,,0.9375,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
0.84,,,,,,,,,,,,,0.75,,,,,,,,,,,
0.92,,,,,,,,,,,,,0.928571429,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
0.48,,,,,,,,,,,,,0.5,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
0.28,,,,,,,,,,,,,0.25,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
0.24,,,,,,,,,,,,,0.25,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Label 1 Precision,Label 1 Precision,,,,,,,,,,,,Label 2 Precision,Label 2 Precision,,,,,,,,,,
